Prefix|Country|Amateur|CQ-zone|ITU-zone
335|Pratas Isl.|BV9|25|50
336|Scarborough Reef|BS7|27|44
337|Austral Isl.|FO0A|32|63
338|Marquesas Isl.|FO0M|32|63
339|Temotu|H40|28|51
340|Palestina|E4|20|39
341|East Timor|4W6|28|54
342|Chesterfields Isl.|FK/C|30|56
343|Ducie Isl.|VP6D|32|63
344|Montenegro|"YT-YU,YZ"|15|28
345|Swains Isl.|KH8|32|62
346|St. Barthelemy ISl.|FJ|08|11
